Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BK4819,BK4819QN32SC,QFN-32_L4.0-W4.0-P0.40-TL-EP2.9,7.62,-4.027,0.0,top
C1,10uF,C0402,10.414,-25.654,-90.0,top
C10,1nF,C0402,48.26,-19.2669,180.0,top
C103,4.7pF,C0402,21.717,-2.667,-90.0,top
C105,100pF,C0402,18.542,-0.2169,0.0,top
C11,1nF,C0402,48.895,-23.5849,180.0,top
C12,NC,C0402,40.64,-8.3449,-90.0,top
C129,5.6pF,C0402,19.304,-2.3759,-90.0,top
C13,NC,C0402,55.753,-19.177,0.0,top
C160,1uF,C0402,15.748,-25.6169,-90.0,top
C161,100nF,C0402,17.018,-25.6169,90.0,top
C163,100nF,C0402,9.017,-25.654,90.0,top
C2,4.7uF,C0402,8.255,-6.1859,90.0,bottom
C20,4.7nF,C0402,32.893,-16.0919,180.0,top
C209,100pF,C0402,16.256,-7.3289,90.0,top
C210,100pF,C0402,13.716,-4.7889,-90.0,top
C211,100pF,C0402,14.859,-1.6139,-90.0,top
C212,100pF,C0402,17.907,-2.3759,-90.0,top
C213,100pF,C0402,19.05,-5.207,180.0,top
C215,10nF,C0402,35.814,-4.2809,90.0,bottom
C216,100pF,C0402,30.988,-4.4079,270.0,bottom
C217,100pF,C0402,35.687,-6.8209,180.0,bottom
C218,10nF,C0402,35.687,-8.0909,0.0,bottom
C219,10nF,C0402,35.687,-9.3609,0.0,bottom
C22,4.7nF,C0402,39.37,-14.3139,90.0,top
C220,100pF,C0402,35.687,-10.6309,180.0,bottom
C221,100pF,C0402,35.687,-13.1709,180.0,bottom
C222,10nF,C0402,35.687,-11.9009,0.0,bottom
C223,100nF,C0402,-2.032,-0.4709,270.0,bottom
C224,10nF,C0402,3.556,-4.2809,0.0,top
C225,3.3nF,C0603,-2.413,-2.8839,-90.0,top
C226,100nF,C0402,10.033,-3.7729,180.0,bottom
C228,NC,C0402,10.287,-9.2339,-90.0,top
C229,10nF,C0402,6.985,-6.1859,90.0,bottom
C232,100nF,C0402,5.207,-1.8679,180.0,bottom
C233,100pF,C0402,5.334,-3.7729,180.0,bottom
C235,10nF,C0402,30.353,-16.0919,0.0,top
C236,100nF,C0402,25.654,-13.8059,-90.0,top
C237,1nF,C0402,27.051,-13.8059,90.0,top
C238,100pF,C0402,28.067,-2.2489,180.0,top
C239,4.7pF,C0402,33.782,0.5451,0.0,top
C240,2pF,C0402,30.988,0.4181,0.0,top
C241,2pF,C0402,35.687,-1.7409,90.0,top
C242,1pF,C0402,31.242,-2.2489,180.0,top
C243,1.5pF,C0402,33.147,-1.4869,-90.0,top
C244,100pF,C0402,35.052,-4.6619,90.0,top
C245,1nF,C0402,38.608,-8.5989,0.0,top
C246,10nF,C0402,39.37,-11.6469,90.0,top
C25,1pF,C0402,21.717,1.3071,180.0,top
C254,10nF,C0402,1.397,0.5451,90.0,top
C26,68pF,C0402,52.197,-9.6149,180.0,top
C28,6.8pF,C0603,45.847,-29.8079,-90.0,top
C29,2pF,C0402,48.895,-32.6019,180.0,top
C3,NC,C0402,42.545,-6.4399,0.0,top
C30,1nF,C0402,46.355,-21.8069,0.0,top
C31,6.8pF,C0603,43.434,-26.3789,180.0,top
C32,2pF,C0402,43.688,-21.8069,0.0,top
C33,2.7pF,C0603,41.148,-29.5539,90.0,top
C34,3.9pF,C0402,46.228,-24.0929,90.0,top
C35,1nF,C0402,52.959,-20.5369,0.0,top
C4,100pF,C0402,37.084,-4.2809,270.0,bottom
C41,3.3pF,C0603,52.451,-30.0619,90.0,top
C5,10nF,C0402,32.258,-4.4079,90.0,bottom
C54,1nF,C0402,52.959,-23.0769,0.0,top
C55,4.7pF,C0402,53.594,-18.6319,-90.0,top
C58,10pF,C0402,50.292,-10.2499,-90.0,top
C59,12pF,C0402,46.863,-10.2499,-90.0,top
C6,10pF,C0402,55.753,-16.5999,180.0,top
C60,2.2pF,C0402,41.91,-9.2339,-90.0,top
C61,1.8pF,C0603,45.212,-9.3609,90.0,top
C7,15nF,C0402,54.229,-9.398,-90.0,top
C8,22nF,C0402,56.007,-7.493,180.0,top
C9,10nF,C0402,56.007,-6.223,0.0,top
JP1,PZ2.54-2*15,HDR-TH_30P-P2.54-V-M-R2-C15-S2.54-2,13.8412,-31.4609,180.0,top
JP2,20 PIN,HDR-TH_20P-P2.54-V-M-R2-C10-S2.54,-7.2408,-11.6489,90.0,top
JP3,2.54-2*7,HDR-TH_14P-P2.54-V-F-R2-C7-S2.54,20.9532,13.7511,180.0,top
L1,6.8nH,IND-SMD_L1.6-W0.8-1,53.594,-15.7109,90.0,top
L14,15nH,IND-SMD_L1.0-W0.6,48.514,-9.6149,180.0,top
L15,18nH,IND-SMD_L1.6-W0.8-RD,43.434,-9.3609,90.0,top
L2,47nH,IND-SMD_L1.6-W0.8-RD,59.055,-16.5999,0.0,top
L3,0.35*1.4*4T,IND-SMD_L2.3-W1.7-1,43.434,-29.6809,90.0,top
L4,0.4*1.4*3T,IND-SMD_L2.3-W1.7-1,49.149,-30.5699,180.0,top
L45,NC,L0402,12.319,-8.5989,0.0,top
L46,NC,L0402,12.319,-9.9959,180.0,top
L5,0.35*1.4*4T,IND-SMD_L2.3-W1.7-1,43.18,-23.8389,0.0,top
L54,18nH,IND-SMD_L1.6-W0.8-RD,21.844,-0.2169,0.0,top
L6,47nH,IND-SMD_L1.6-W0.8-RD,52.705,-5.969,90.0,top
L7,6.8nH,IND-SMD_L1.0-W0.5-2,31.242,-0.8519,0.0,top
L8,6.8nH,IND-SMD_L1.0-W0.5-2,34.417,-2.1219,-90.0,top
PE4259,PE4259-63,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BL,15.748,-4.2809,90.0,top
Pad_gge111627,Pad_gge111627,Pad_gge111627,-6.223,13.4991,0.0,top
Pad_gge189569,Pad_gge189569,Pad_gge189569,57.15,13.589,0.0,top
Pad_gge255906,Pad_gge255906,Pad_gge255906,33.147,-10.3769,0.0,top
